,id,items
0,5de1b5ae2bb59605ca3d0c0b,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '5d59ee854e77525ec5ca1212', '617f9228bc63410023472aa4', '6005151da6432d001a69b21b', '6182113bbc63410023473754', '5fc50adfce872a1a803a8eea', '5e42406f4267e105dfff1824', '617a3aacbc63410023471ab6', '5d78491b19efa30eb29143cc', '5f6860f348060c52caf14690', '5f1550c2221c8b5f77c8f35d', '5d13115e32026c0b35383897', '62551d64cb28e6002469d8f9']"
1,5d8349e33f0e6805c47067ea,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
2,5d73a77619efa30eb291437c,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '617f9228bc63410023472aa4', '610b6f9ad26af90681b1e699', '6182113bbc63410023473754', '617a3aacbc63410023471ab6', '5db8d6140dabe405b156f856', '5dc388aa2bb59605ca3cf794', '6005151da6432d001a69b21b', '60b49711c1908b001a649f0f', '5d59ee854e77525ec5ca1212', '623bc8886f766b0024668eb5', '5d78491b19efa30eb29143cc', '62551d64cb28e6002469d8f9']"
3,5dc428b42bb59605ca3cf912,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
4,5dbb891a2bb59605ca3cf4b5,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '610b6f9ad26af90681b1e699', '617a3aacbc63410023471ab6', '6005151da6432d001a69b21b', '628df3509d9388002406ed08', '6182113bbc63410023473754', '5f6860f348060c52caf14690', '623bc8886f766b0024668eb5', '5d59ee854e77525ec5ca1212', '5d78505019efa30eb29143d2', '600e6471527223001a206920', '617f9228bc63410023472aa4', '5d13115e32026c0b35383897']"
5,610117d1d26af90681b1d866,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '617a3aacbc63410023471ab6', '6182113bbc63410023473754', '5f6860f348060c52caf14690', '5d13115e32026c0b35383897', '610b6f9ad26af90681b1e699', '5d77b31f19efa30eb29143c9', '617f9228bc63410023472aa4', '5d78491b19efa30eb29143cc', '60b08d280ccc56001bc7f2a6', '5d59ee854e77525ec5ca1212', '5d9edd880dabe405b156e20f', '623bc8886f766b0024668eb5']"
6,5d73639f19efa30eb2914376,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
7,5d60cd414e77525ec5ca1401,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
8,6036403d643a8a0019f2aee1,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '6182113bbc63410023473754', '610b6f9ad26af90681b1e699', '5d78491b19efa30eb29143cc', '617a3aacbc63410023471ab6', '617f9228bc63410023472aa4', '629860569d93880024071aca', '5f6860f348060c52caf14690', '5dc388aa2bb59605ca3cf794', '6005151da6432d001a69b21b', '623bc8886f766b0024668eb5', '5d59ee854e77525ec5ca1212', '5e4b6a984267e105dfff1dfe']"
9,5d96fd400dabe405b156dbe2,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '610b6f9ad26af90681b1e699', '5f6860f348060c52caf14690', '5d9ff4170dabe405b156e45c', '62392e146f766b0024667fe2', '608654080ccc56001bc7c269', '5e42118d4267e105dfff17b0', '617f9228bc63410023472aa4', '5e4b6a984267e105dfff1dfe', '623bc8886f766b0024668eb5', '617a3aacbc63410023471ab6', '6182113bbc63410023473754', '613eab4f6b61d0001afbbb40']"
10,5d9722ef0dabe405b156dd42,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
11,5dad02370dabe405b156ee41,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '6182113bbc63410023473754', '5f1e78fa221c8b5f77c9049e', '617f9228bc63410023472aa4', '610b6f9ad26af90681b1e699', '60b49711c1908b001a649f0f', '623bc8886f766b0024668eb5', '61a49096bc6341002347aa22', '617a3aacbc63410023471ab6', '5dedb5e04267e105dffeef43', '60bdb431c1908b001a64ab9d', '5dc388aa2bb59605ca3cf794', '5d59ee854e77525ec5ca1212']"
12,5db16a640dabe405b156f3b3,"['629860599d93880024071acc', '62bbee3a08e04900234e36c8', '60d018b7d26af90681b18980', '629860589d93880024071acb', '629860569d93880024071aca', '62da5dd81b3c480022189fdf', '62cd2dbb3fc97a002bec851b', '610b6f9ad26af90681b1e699', '628ecd6b9d9388002406f05b', '6182113bbc63410023473754', '628f154b9d9388002406f447', '628ecd659d9388002406f055', '62cd2c353fc97a002bec8509', '617a3aacbc63410023471ab6', '5e4215f84267e105dfff17b9']"
